Row	rho_Mean	rho_Stability	rho_Slope	p_Mean	p_Stability	p_Slope	FDR_Mean	FDR_Stability	FDR_Slope
NEO_N1_T	-0.0456589187604827	-0.0246804598419619	-0.0168979437096047	0.325880714488863	0.59551969201968	0.716283637430543	0.651761428977725	0.840419962389965	0.922781118539179
NEO_N2_T	-0.0548747393238815	-0.0275371411505976	0.000355533912107246	0.237596264468582	0.553635576313365	0.993899395501392	0.531192171376337	0.830453364470047	0.993899395501392
NEO_N3_T	-0.0105941652996614	0.00368710386488575	0.015264232116717	0.819768607089534	0.936798413055827	0.742693200318244	0.95119231073589	0.984164254419326	0.94144208491045
NEO_N4_T	-0.0716890135755328	-0.0255730628116766	0.00223261868054998	0.122656728094801	0.582278469809695	0.961704802890841	0.428542015702125	0.840419962389965	0.984164254419326
NEO_N5_T	-0.14609095680327	-0.0680546289656869	-0.0790043693681656	0.00158437025286657	0.142847338567375	0.088808914661371	0.125674102312817	0.428542015702125	0.426910365339157
NEO_N6_T	0.0183745197269961	0.00735333824887854	0.0602788974930441	0.692700849755935	0.874345139880516	0.194449850326137	0.916809948206385	0.958640743284943	0.526730725403828
NEO_E1_T	-0.0827857578238345	-0.0571303239483632	-0.0746111197303455	0.0745150430269585	0.218832350167283	0.108095280369415	0.419147117026642	0.526730725403828	0.426910365339157
NEO_E2_T	0.00968905223290543	0.0407531607919042	0.0322402505450731	0.834935472757059	0.380598316100615	0.487974926204775	0.95119231073589	0.715381502040162	0.813291543674625
NEO_E3_T	-0.0701947603430322	-0.0684482552857414	-0.0946097376860516	0.130671109688015	0.140544954868245	0.0414264762291928	0.428542015702125	0.428542015702125	0.310698571718946
NEO_E4_T	-0.0852322472882371	-0.0566914682292858	-0.0870388398249792	0.0663085635211484	0.222397417392727	0.0607374409356737	0.39785138112689	0.526730725403828	0.390454977443617
NEO_E5_T	-0.00716941164567424	-0.0479916347468709	-0.0119069821377777	0.877463037899487	0.301746858300022	0.797890233509589	0.958640743284943	0.631563191790744	0.95119231073589
NEO_E6_T	-0.0575065998183859	-0.033624195797887	-0.0744000186054459	0.215808387591282	0.469483042537867	0.109099315586673	0.526730725403828	0.797235355252982	0.426910365339157
NEO_O1_T	-0.0704554614028978	-0.0625528697315702	-0.0761428115844223	0.129244416846839	0.178118857667671	0.101027014104449	0.428542015702125	0.514515505102717	0.426910365339157
NEO_O2_T	-0.0761688430939533	-0.0785082065694092	-0.118409199723321	0.100910137921521	0.0908379270907703	0.0106040590252315	0.426910365339157	0.426910365339157	0.149200863641019
NEO_O3_T	-0.0812816550099007	-0.0618662641239496	-0.100879167888373	0.0799585409473457	0.182938846258744	0.0296270952035466	0.423309922662419	0.514515505102717	0.242403506210836
NEO_O4_T	-0.0168086550664053	-0.0556300693398026	-0.0897438545798195	0.717718647752694	0.231190598106339	0.0531230938752297	0.922781118539179	0.531192171376337	0.367775265290052
NEO_O5_T	-0.0724868790852406	-0.102481326587863	-0.134629781309176	0.118537037453117	0.0271214203073371	0.00363078764174586	0.428542015702125	0.242403506210836	0.125674102312817
NEO_O6_T	0.0296506778463877	0.00191390492748842	-0.0106894878980468	0.523602337521613	0.96716823716064	0.818175098199671	0.826740532928863	0.984164254419326	0.95119231073589
NEO_A1_T	-0.0576855346916441	-0.0145524432938152	-0.0528678174492902	0.214380938742283	0.754296774651082	0.255220067778571	0.526730725403828	0.942870968313853	0.546900145239794
NEO_A2_T	-0.00788613049092293	-0.0205420560567981	0.00156044413229779	0.865324458338557	0.65861919533282	0.973229096036889	0.958640743284943	0.896491502549554	0.984164254419326
NEO_A3_T	0.0104096907232508	-0.0262942446395431	-0.0367016798824565	0.82285457271414	0.5716813167942	0.429781421511583	0.95119231073589	0.840419962389965	0.763674150239107
NEO_A4_T	0.0406729933064464	0.0277184181038956	0.0112691618205418	0.381536801088087	0.551027022368476	0.808501027775017	0.715381502040162	0.830453364470047	0.95119231073589
NEO_A5_T	0.0376020715176499	0.0695303299349011	0.0543651884024836	0.418544207738394	0.13436228386064	0.241987544738109	0.763674150239107	0.428542015702125	0.531192171376337
NEO_A6_T	-0.128323640961134	-0.101001210312586	-0.124111559075997	0.00558551565834741	0.0294294824996836	0.00737348713573692	0.125674102312817	0.242403506210836	0.132722768443265
NEO_C1_T	-0.0456702939182237	-0.0228804093512397	-0.0577430140415107	0.325760074520664	0.622630002658538	0.213923841864568	0.651761428977725	0.862103080604129	0.526730725403828
NEO_C2_T	-0.00677945172871514	0.00190197722415438	-0.0277458064337669	0.884079796585003	0.967372734884346	0.5506334321294	0.958640743284943	0.984164254419326	0.830453364470047
NEO_C3_T	-0.0300475528492425	-0.00188668462712353	-0.0199802901827883	0.518057116545794	0.967634926061716	0.667388118564668	0.826740532928863	0.984164254419326	0.896491502549554
NEO_C4_T	-0.116486855375348	-0.114780873491571	-0.131511096803523	0.0119469284143629	0.0132622989903128	0.0045028635510055	0.149200863641019	0.149200863641019	0.125674102312817
NEO_C5_T	-0.0309540402617713	-0.00977240512544712	-0.0364662135201393	0.505505977696785	0.833536086548426	0.432748685135494	0.826740532928863	0.95119231073589	0.763674150239107
NEO_C6_T	0.0407392313157993	0.0343708225340061	0.024538912618489	0.38076128072744	0.459669490978048	0.597631973255087	0.715381502040162	0.79558181130816	0.840419962389965
