Row	sex_rho	age_rho	daytime_rho	sex_p	age_p	daytime_p
VIGALL_DT3_214_V_1_20	0.0211559637710338	0.167808391504418	-0.155053956562395	0.648030007395008	0.000265907100140322	0.000763395713772424
VIGALL_DT3_214_SI_20_5	0.0295976325849205	0.178498957866296	-0.197109372216577	0.523003576301682	0.00010342223751408	1.74747215643516e-05
VIGALL_DT3_214_V_LogSqR_adj	0.0839882817557844	0.191120391532212	-0.167311951912783	0.0694787584335005	3.1556205374026e-05	0.000277453462718375
NEO_N_T	0.0644834645121194	-0.0284639048818733	0.0165116154547684	0.163707538565244	0.539052666744036	0.721638441876814
NEO_E_T	-0.161255014030201	-0.0737369083200637	0.0678652244222925	0.000461613330390151	0.111142999392286	0.142671833943424
NEO_O_T	-0.0755846639148306	-0.0839217542035649	0.0122161837661207	0.102445788900554	0.0697006861972654	0.79210390891696
NEO_A_T	0.00937917775364669	-0.0742840895394812	-0.0699126427540725	0.839631793895393	0.108508974526538	0.130980792925674
NEO_C_T	-0.163648547923761	0.0803970314405768	-0.0202756503467222	0.000378288477320646	0.0823137878501036	0.661747786914387
NEO_N1_T	0.028468879965469	-0.0238781619249164	0.0102276044628939	0.538981705553872	0.606374361838059	0.825348617981137
NEO_N2_T	0.0764640288207975	0.0115426757999143	0.0404345451895611	0.0985007676350561	0.803324594275328	0.382798987225258
NEO_N3_T	0.0466670739479626	0.0245314001939742	0.018371343730161	0.313736682224335	0.596558657077345	0.691807339740239
NEO_N4_T	0.0846715264638137	-0.059533927778239	-0.0481999663114271	0.0672328420067358	0.198578463818306	0.298088584447618
NEO_N5_T	-0.0501368685525641	0.0116876947889182	0.0483617839390795	0.279071898181675	0.80090506695725	0.296467579264297
NEO_N6_T	0.114372737921708	-0.0659634165669351	-0.0389725971719173	0.0132948105696374	0.154231557674024	0.400252071218038
NEO_E1_T	-0.115480436521661	-0.0932264946822754	0.0873496100312866	0.0124224273799857	0.0438213210041725	0.0589966836629608
NEO_E2_T	-0.0324184162689894	-0.140328944762893	0.00924741189856153	0.484160902910366	0.00234442551598598	0.841854914622495
NEO_E3_T	-0.0780013063732875	0.0244374362901189	0.0870103783011958	0.0918955333321166	0.597966132558191	0.0599913801681646
NEO_E4_T	-0.142166735408007	-0.0138554388704823	0.066961338252501	0.0020493512239448	0.764976859134052	0.14808044324044
NEO_E5_T	-0.0950834238755281	-0.0501819706011182	0.0204346073498898	0.0397701226750496	0.2786391081463	0.659262226180942
NEO_E6_T	-0.232787326989043	-0.0606850163732858	0.0419118497377143	3.53148026099448e-07	0.190021701008001	0.365642996171927
NEO_O1_T	-0.0603678546568271	-0.0652773273024617	0.00534796560789005	0.192351872733634	0.158571537961911	0.908139478195262
NEO_O2_T	-0.0491208843176161	-0.0548057182900083	0.038091174244544	0.288941888506581	0.236671313810764	0.411001308055462
NEO_O3_T	-0.10759287482421	-0.101075214761242	0.0410999773225042	0.0199053563761488	0.0287903347817566	0.375011278628677
NEO_O4_T	-0.0391443967888389	-0.0492055249973679	0.0448898996928288	0.398176706898708	0.288110786586682	0.332540918804993
NEO_O5_T	-0.01773544629114	-0.009753847885356	-0.0297321808029414	0.701956727781584	0.833317474909314	0.521115269238097
NEO_O6_T	-0.0348127242801416	0.00011102076572327	-0.0688352701302409	0.452455201509836	0.998088810134389	0.137036890318234
NEO_A1_T	-0.0348561108109077	-0.0736002846009973	-0.00813567624839915	0.451891668580869	0.111808466185171	0.860660195735554
NEO_A2_T	0.0378992335983649	-0.014515610279168	-0.0364749252277624	0.41336454018991	0.754130692392674	0.431150106396895
NEO_A3_T	-0.102687307957676	-0.0689098563242509	-0.0370861162048764	0.0263238423950657	0.136610810588691	0.423464472661838
NEO_A4_T	0.123328650018175	-0.0240205608431349	-0.0545892280868256	0.00756085804861901	0.604228513523227	0.238531012012108
NEO_A5_T	0.00600991804719791	0.030897499396149	-0.0730361951525991	0.896829188994291	0.504908308980144	0.114589261035574
NEO_A6_T	-0.00177478763782185	-0.164543186395106	-0.0424795476104408	0.969454963754837	0.000350915629409639	0.359179572610418
NEO_C1_T	-0.129233314261726	0.0402913425564534	0.025577585002965	0.00510997408806317	0.384487748403997	0.580990595892714
NEO_C2_T	-0.119173462508927	0.0867295359791331	-0.0480812676924555	0.00986791908710573	0.0608253193545424	0.299281391020411
NEO_C3_T	-0.184368322257263	-0.0132375043973738	-0.0208569839997928	6.01358825521357e-05	0.775170946302097	0.652675914129117
NEO_C4_T	-0.129380820722183	0.0620218615831893	0.051702556657116	0.00505918253361339	0.180427576894685	0.264313900003645
NEO_C5_T	-0.0929151891548665	0.0389900258244811	-0.049521523051647	0.044533382983397	0.400041235651812	0.285022154307334
NEO_C6_T	-0.0502648854627625	0.103044817109017	-0.052018740845119	0.277844662220183	0.0258022093907557	0.261399907134084
