Row	rho_Mean	rho_Stability	rho_Slope	p_Mean	p_Stability	p_Slope	FDR_Mean	FDR_Stability	FDR_Slope
NEO_N1_T	-0.0490234043971487	-0.0288705227854397	-0.0199267204605648	0.289901054539162	0.533268388752961	0.667216911002243	0.51159009624558	0.767655876229702	0.854414939084313
NEO_N2_T	-0.0541227032681078	-0.028119977844617	0.00417059219693728	0.242573447648402	0.543969490586889	0.928300869794729	0.454825214340754	0.767655876229702	0.971477654436345
NEO_N3_T	-0.00668137096525588	0.00719662896885917	0.0218343142604013	0.885377893467449	0.876606449553256	0.637539733607036	0.948619171572267	0.948619171572267	0.843802588597548
NEO_N4_T	-0.068129853380083	-0.0211891907119288	0.00768769182708386	0.141117321353543	0.647514525507535	0.86826090798472	0.327196879780741	0.84458416370548	0.948619171572267
NEO_N5_T	-0.149699880903686	-0.0758562668722934	-0.0874835414585645	0.00116152041729528	0.101214166002662	0.0586077453702931	0.0496425777666996	0.276038634552716	0.202872964743322
NEO_N6_T	0.0174304783661814	0.00874030801041095	0.0631742919754987	0.706843238185911	0.850422223632882	0.172448865878715	0.871450567626466	0.948619171572267	0.352736316570099
NEO_E1_T	-0.11577637373333	-0.0970536629413636	-0.119153123081764	0.0121980844686254	0.0358227035415142	0.0098806030446506	0.0882774757926655	0.165083404488458	0.0882774757926655
NEO_E2_T	-0.0192739073334286	0.0073610253261334	-0.0048400612228324	0.677496381383382	0.873810987164587	0.916830389041028	0.854414939084313	0.948619171572267	0.970761588396383
NEO_E3_T	-0.0812444228133684	-0.0830880331940996	-0.10940922946983	0.0791244664960337	0.0725313764545548	0.0179007087018982	0.237373399488101	0.228525426778547	0.102750681136125
NEO_E4_T	-0.101856037573665	-0.0785569886896374	-0.113535101599374	0.0275719577316695	0.089597082921659	0.0139899083212854	0.137859788658348	0.260120563320946	0.089935124922549
NEO_E5_T	-0.0238371346483021	-0.0653381202921142	-0.0365592627882146	0.606993242845752	0.158183299232237	0.430084803737013	0.827718058426025	0.340440560711133	0.675271809231022
NEO_E6_T	-0.0827698939346929	-0.0652303151431031	-0.115946125806448	0.073635970850865	0.158872261665195	0.0120710210275268	0.228525426778547	0.340440560711133	0.0882774757926655
NEO_O1_T	-0.0836644930214223	-0.0771865271566879	-0.0944643586096858	0.0705643430238374	0.0953507972088949	0.0410840021474281	0.228525426778547	0.268174117150017	0.168070917875842
NEO_O2_T	-0.0922200818993371	-0.0966079849747544	-0.137270408154092	0.0461585067197184	0.0366852009974352	0.00292253834753988	0.173094400198944	0.165083404488458	0.0498773454148499
NEO_O3_T	-0.108027697849553	-0.0931766858583998	-0.136671664275877	0.0194084619923791	0.04393460262385	0.00304986296305801	0.102750681136125	0.171918010267239	0.0498773454148499
NEO_O4_T	-0.0344642830361131	-0.0745013774430772	-0.108841818709512	0.456995312851009	0.107476750579724	0.0185071157205161	0.697111494179505	0.284497280946328	0.102750681136125
NEO_O5_T	-0.0680158669427649	-0.095081816196763	-0.127725357678675	0.141785314571655	0.0397734881670679	0.00565618644413995	0.327196879780741	0.168070917875842	0.0727223971389422
NEO_O6_T	0.0385036397711878	0.0142095175250169	-0.00169870723125305	0.405950041098103	0.759153723668899	0.970763750520335	0.664281885433259	0.92329506932704	0.980200786189997
NEO_A1_T	-0.0694712877657772	-0.0286727430702838	-0.0687473287247716	0.133436222122279	0.536077961356085	0.137540574586269	0.327196879780741	0.767655876229702	0.327196879780741
NEO_A2_T	-0.00249562990994616	-0.0127675754300759	0.00927450001752535	0.957059106633013	0.782949424231628	0.841397787379352	0.978810449965582	0.931442622505233	0.948619171572267
NEO_A3_T	-0.00115025028740039	-0.0367039626793138	-0.0545643484937887	0.980200786189997	0.428260593109534	0.238745389941862	0.980200786189997	0.675271809231022	0.454825214340754
NEO_A4_T	0.0495039527155939	0.0401132905421395	0.0294076889782537	0.285193302211863	0.386593805324778	0.525675274108657	0.51159009624558	0.656480046777925	0.767655876229702
NEO_A5_T	0.0543777649089268	0.0881839638833811	0.072452266101066	0.240357428797724	0.0566081354270949	0.11752470680421	0.454825214340754	0.202872964743322	0.302206388925111
NEO_A6_T	-0.145804695385809	-0.119132209071666	-0.145045672139477	0.00156302474371783	0.00989366041656342	0.00165475259222332	0.0496425777666996	0.0882774757926655	0.0496425777666996
NEO_C1_T	-0.0468326391117497	-0.0266117540452609	-0.0655057514529811	0.312021066082045	0.565790236513595	0.157116483348545	0.540036460526616	0.783401865941901	0.340440560711133
NEO_C2_T	0.0117090680962113	0.0220175373996918	-0.0125504021207387	0.800548630519009	0.634718557073178	0.786551547893308	0.935706191515725	0.843802588597548	0.931442622505233
NEO_C3_T	-0.0361573519221178	-0.0106062246303026	-0.0387788519312637	0.435175165948881	0.818992839457149	0.402600300796609	0.675271809231022	0.944991737835172	0.664281885433259
NEO_C4_T	-0.115142181971926	-0.115055166954869	-0.135451127043203	0.0126833043156025	0.0127511909478295	0.00332515636098999	0.0882774757926655	0.0882774757926655	0.0498773454148499
NEO_C5_T	-0.0188923867010702	0.00331910763481688	-0.0279861554167135	0.68353195126745	0.942911123351014	0.545888623096677	0.854414939084313	0.97542530001829	0.767655876229702
NEO_C6_T	0.0642886270963063	0.0609412585194841	0.0491233302050036	0.164986957698536	0.188154292016825	0.288917849331492	0.345321539369028	0.376308584033651	0.51159009624558
